TicketID,OrderID,CustomerComment
TKT-9085,ORD-2026003,Not what I expected.
TKT-2759,ORD-2026005,Changed my mind.
TKT-2623,ORD-2026063,Broken during transit.
TKT-1644,ORD-2026079,Poor quality.
TKT-3377,ORD-2026096,Changed my mind.
TKT-8828,ORD-2026122,Delivery took 3 weeks!
TKT-9495,ORD-2026136,Shipping delayed.
TKT-8949,ORD-2026145,Shipping delayed.
TKT-1368,ORD-2026148,Delivery took 3 weeks!
TKT-7726,ORD-2026158,"Box crushed, item broken."
TKT-8078,ORD-2026189,Delivery took 3 weeks!
TKT-7649,ORD-2026191,Arrived too late.
TKT-9120,ORD-2026198,Shipping delayed.
TKT-2478,ORD-2026201,Delivery took 3 weeks!
TKT-7114,ORD-2026213,Arrived too late.
TKT-8345,ORD-2026214,Poor quality.
TKT-8597,ORD-2026217,Arrived too late.
TKT-8219,ORD-2026229,Shipping delayed.
TKT-7999,ORD-2026241,Delivery took 3 weeks!
TKT-6420,ORD-2026243,Poor quality.
TKT-5482,ORD-2026256,Shipping delayed.
TKT-4815,ORD-2026275,Changed my mind.
TKT-2465,ORD-2026276,Poor quality.
TKT-6656,ORD-2026295,Arrived too late.
TKT-8883,ORD-2026300,Delivery took 3 weeks!
TKT-1895,ORD-2026305,Changed my mind.
TKT-8477,ORD-2026307,Packaging damaged.
TKT-1397,ORD-2026320,Packaging damaged.
TKT-4592,ORD-2026336,Packaging damaged.
TKT-7146,ORD-2026341,Packaging damaged.
TKT-3021,ORD-2026352,Not what I expected.
TKT-7089,ORD-2026426,Changed my mind.
TKT-9388,ORD-2026431,Arrived too late.
TKT-2145,ORD-2026440,Delivery took 3 weeks!
TKT-7335,ORD-2026451,Changed my mind.
TKT-3319,ORD-2026460,Changed my mind.
TKT-1596,ORD-2026462,Poor quality.
TKT-4954,ORD-2026463,Delivery took 3 weeks!
TKT-9492,ORD-2026464,Changed my mind.
TKT-5632,ORD-2026481,Poor quality.
TKT-1024,ORD-2026484,Poor quality.
TKT-8602,ORD-2026506,"Box crushed, item broken."
TKT-4957,ORD-2026523,Poor quality.
TKT-4109,ORD-2026551,Not what I expected.
TKT-2809,ORD-2026554,Arrived too late.
TKT-3277,ORD-2026557,Not what I expected.
TKT-1088,ORD-2026567,Changed my mind.
TKT-8372,ORD-2026573,Arrived too late.
TKT-2509,ORD-2026581,Poor quality.
TKT-5133,ORD-2026583,Not what I expected.
TKT-8961,ORD-2026608,Shipping delayed.
TKT-3996,ORD-2026609,Not what I expected.
TKT-6199,ORD-2026617,Shipping delayed.
TKT-2763,ORD-2026619,Shipping delayed.
TKT-8503,ORD-2026630,Shipping delayed.
TKT-7404,ORD-2026648,Arrived too late.
TKT-4759,ORD-2026653,Shipping delayed.
TKT-9553,ORD-2026662,Shipping delayed.
TKT-9534,ORD-2026676,"Box crushed, item broken."
TKT-2482,ORD-2026685,Delivery took 3 weeks!
TKT-4759,ORD-2026691,Shipping delayed.
TKT-6838,ORD-2026695,Poor quality.
TKT-8739,ORD-2026696,Arrived too late.
TKT-5091,ORD-2026703,Packaging damaged.
TKT-2644,ORD-2026707,Changed my mind.
TKT-8040,ORD-2026729,Delivery took 3 weeks!
TKT-4014,ORD-2026741,Not what I expected.
TKT-8876,ORD-2026749,Delivery took 3 weeks!
TKT-6490,ORD-2026765,Shipping delayed.
TKT-8849,ORD-2026768,Arrived too late.
TKT-2570,ORD-2026769,Poor quality.
TKT-5408,ORD-2026796,Not what I expected.
TKT-4579,ORD-2026812,Poor quality.
TKT-5541,ORD-2026814,Not what I expected.
TKT-4962,ORD-2026835,Shipping delayed.
TKT-5936,ORD-2026838,Packaging damaged.
TKT-5327,ORD-2026846,Changed my mind.
TKT-2443,ORD-2026858,Shipping delayed.
TKT-1559,ORD-2026865,Delivery took 3 weeks!
TKT-4147,ORD-2026876,"Box crushed, item broken."
TKT-8593,ORD-2026884,Packaging damaged.
TKT-5553,ORD-2026889,Shipping delayed.
TKT-6895,ORD-2026900,Delivery took 3 weeks!
TKT-4977,ORD-2026919,Arrived too late.
TKT-2782,ORD-2026923,Shipping delayed.
TKT-8968,ORD-2026928,Changed my mind.
TKT-9732,ORD-2026939,Arrived too late.
TKT-5065,ORD-2026942,Packaging damaged.
TKT-8741,ORD-2026964,Arrived too late.
TKT-8667,ORD-2026970,Broken during transit.
TKT-7876,ORD-2026981,Broken during transit.
TKT-5928,ORD-2026983,Poor quality.
TKT-2666,ORD-2027000,Delivery took 3 weeks!
