OrderID,CustomerID,Country,Category,SalesAmount,IsReturned
ORD-2026001,CUST-112,Spain,Electronics,159.77,No
ORD-2026002,CUST-175,France,Electronics,338.98,No
ORD-2026003,CUST-150,France,Sports,440.81,Yes
ORD-2026004,CUST-236,France,Electronics,113.19,No
ORD-2026005,CUST-166,Spain,Apparel,160.09,Yes
ORD-2026006,CUST-198,France,Sports,429.4,No
ORD-2026007,CUST-262,Spain,Sports,220.49,No
ORD-2026008,CUST-246,Germany,Apparel,227.13,No
ORD-2026009,CUST-111,France,Home & Kitchen,269.38,No
ORD-2026010,CUST-118,Germany,Electronics,426.35,No
ORD-2026011,CUST-264,Germany,Apparel,373.29,No
ORD-2026012,CUST-254,France,Home & Kitchen,196.18,No
ORD-2026013,CUST-236,Spain,Sports,219.27,No
ORD-2026014,CUST-218,France,Electronics,179.02,No
ORD-2026015,CUST-235,Germany,Home & Kitchen,287.75,No
ORD-2026016,CUST-232,Spain,Apparel,498.73,No
ORD-2026017,CUST-147,Germany,Sports,330.62,No
ORD-2026018,CUST-229,Spain,Apparel,200.27,No
ORD-2026019,CUST-104,Germany,Apparel,296.83,No
ORD-2026020,CUST-174,France,Home & Kitchen,354.64,No
ORD-2026021,CUST-187,Germany,Home & Kitchen,58.24,No
ORD-2026022,CUST-178,France,Apparel,249.65,No
ORD-2026023,CUST-111,France,Sports,173.81,No
ORD-2026024,CUST-220,Italy,Home & Kitchen,150.35,No
ORD-2026025,CUST-242,Spain,Apparel,261.0,No
ORD-2026026,CUST-132,Spain,Home & Kitchen,343.17,No
ORD-2026027,CUST-181,Italy,Sports,169.26,No
ORD-2026028,CUST-204,Spain,Home & Kitchen,394.32,No
ORD-2026029,CUST-281,Germany,Apparel,242.92,No
ORD-2026030,CUST-114,Italy,Home & Kitchen,373.56,No
ORD-2026031,CUST-274,Italy,Sports,136.42,No
ORD-2026032,CUST-262,Spain,Home & Kitchen,393.75,No
ORD-2026033,CUST-155,Italy,Apparel,410.31,No
ORD-2026034,CUST-198,Germany,Home & Kitchen,490.2,No
ORD-2026035,CUST-119,Italy,Electronics,185.68,No
ORD-2026036,CUST-228,France,Home & Kitchen,386.65,No
ORD-2026037,CUST-157,Italy,Electronics,428.46,No
ORD-2026038,CUST-221,France,Apparel,110.2,No
ORD-2026039,CUST-280,Germany,Sports,378.48,No
ORD-2026040,CUST-110,Italy,Electronics,309.69,No
ORD-2026041,CUST-125,Spain,Apparel,300.34,No
ORD-2026042,CUST-211,France,Apparel,167.57,No
ORD-2026043,CUST-144,Italy,Electronics,346.08,No
ORD-2026044,CUST-257,Germany,Home & Kitchen,425.5,No
ORD-2026045,CUST-264,France,Apparel,297.09,No
ORD-2026046,CUST-117,Germany,Electronics,26.17,No
ORD-2026047,CUST-259,France,Home & Kitchen,400.4,No
ORD-2026048,CUST-169,Germany,Apparel,313.13,No
ORD-2026049,CUST-144,Spain,Apparel,377.12,No
ORD-2026050,CUST-215,Germany,Electronics,275.94,No
ORD-2026051,CUST-282,Italy,Sports,232.51,No
ORD-2026052,CUST-143,Spain,Home & Kitchen,86.36,No
ORD-2026053,CUST-103,Spain,Sports,53.12,No
ORD-2026054,CUST-235,Italy,Apparel,481.36,No
ORD-2026055,CUST-283,Spain,Electronics,22.47,No
ORD-2026056,CUST-114,Spain,Home & Kitchen,443.2,No
ORD-2026057,CUST-191,France,Electronics,458.56,No
ORD-2026058,CUST-103,Italy,Sports,384.21,No
ORD-2026059,CUST-268,Spain,Sports,197.03,No
ORD-2026060,CUST-198,Germany,Home & Kitchen,145.01,No
ORD-2026061,CUST-228,France,Sports,324.15,No
ORD-2026062,CUST-197,Spain,Home & Kitchen,389.51,No
ORD-2026063,CUST-210,Spain,Electronics,492.91,Yes
ORD-2026064,CUST-200,France,Sports,280.94,No
ORD-2026065,CUST-186,France,Electronics,33.2,No
ORD-2026066,CUST-141,France,Home & Kitchen,491.23,No
